unique_id,ds,ADIDA,BottomUp
104-model-disabled,2014-07-01,1.0706002,2.457508
104-model-disabled,2014-08-01,1.0706002,2.457508
104-model-disabled,2014-09-01,1.0706002,2.457508
106-model-disabled,2014-07-01,0.23852721,4.459289
106-model-disabled,2014-08-01,0.23852721,4.459289
106-model-disabled,2014-09-01,0.23852721,4.459289
115-model-disabled,2014-07-01,6.0442705,8.31178
115-model-disabled,2014-08-01,6.0442705,8.31178
115-model-disabled,2014-09-01,6.0442705,8.31178
116-model-disabled,2014-07-01,0.56335545,7.2936044
116-model-disabled,2014-08-01,0.56335545,7.2936044
116-model-disabled,2014-09-01,0.56335545,7.2936044
12-model-disabled,2014-07-01,18.278482,14.177436
12-model-disabled,2014-08-01,18.278482,14.177436
12-model-disabled,2014-09-01,18.278482,14.177436
123-model-disabled,2014-07-01,1.5262346,4.4210906
123-model-disabled,2014-08-01,1.5262346,4.4210906
123-model-disabled,2014-09-01,1.5262346,4.4210906
124-model-disabled,2014-07-01,0.48783585,6.44673
124-model-disabled,2014-08-01,0.48783585,6.44673
124-model-disabled,2014-09-01,0.48783585,6.44673
125-model-disabled,2014-07-01,0.44807842,7.0361767
125-model-disabled,2014-08-01,0.44807842,7.0361767
125-model-disabled,2014-09-01,0.44807842,7.0361767
126-model-disabled,2014-07-01,5.1147294,5.311755
126-model-disabled,2014-08-01,5.1147294,5.311755
126-model-disabled,2014-09-01,5.1147294,5.311755
13-model-disabled,2014-07-01,1.2196763,12.7766485
13-model-disabled,2014-08-01,1.2196763,12.7766485
13-model-disabled,2014-09-01,1.2196763,12.7766485
14-model-disabled,2014-07-01,0.8409635,11.975141
14-model-disabled,2014-08-01,0.8409635,11.975141
14-model-disabled,2014-09-01,0.8409635,11.975141
15-model-disabled,2014-07-01,0.28453788,4.50089
15-model-disabled,2014-08-01,0.28453788,4.50089
15-model-disabled,2014-09-01,0.28453788,4.50089
16-model-disabled,2014-07-01,0.0031855477,0.4296525
16-model-disabled,2014-08-01,0.0031855477,0.4296525
16-model-disabled,2014-09-01,0.0031855477,0.4296525
18-model-disabled,2014-07-01,0.012994244,0.54819995
18-model-disabled,2014-08-01,0.012994244,0.54819995
18-model-disabled,2014-09-01,0.012994244,0.54819995
19-model-disabled,2014-07-01,0.06126318,1.0690792
19-model-disabled,2014-08-01,0.06126318,1.0690792
19-model-disabled,2014-09-01,0.06126318,1.0690792
21-model-disabled,2014-07-01,1.5440321,20.436169
21-model-disabled,2014-08-01,1.5440321,20.436169
21-model-disabled,2014-09-01,1.5440321,20.436169
25-model-disabled,2014-07-01,0.034285318,0.24357615
25-model-disabled,2014-08-01,0.034285318,0.24357615
25-model-disabled,2014-09-01,0.034285318,0.24357615
26-model-disabled,2014-07-01,14.121835,8.521447
26-model-disabled,2014-08-01,14.121835,8.521447
26-model-disabled,2014-09-01,14.121835,8.521447
28-model-disabled,2014-07-01,0.026466312,0.48860034
28-model-disabled,2014-08-01,0.026466312,0.48860034
28-model-disabled,2014-09-01,0.026466312,0.48860034
3-model-disabled,2014-07-01,36.446087,43.06372
3-model-disabled,2014-08-01,36.446087,43.06372
3-model-disabled,2014-09-01,36.446087,43.06372
30-model-disabled,2014-07-01,8.455853,35.118458
30-model-disabled,2014-08-01,8.455853,35.118458
30-model-disabled,2014-09-01,8.455853,35.118458
38-model-disabled,2014-07-01,27.051481,20.05773
38-model-disabled,2014-08-01,27.051481,20.05773
38-model-disabled,2014-09-01,27.051481,20.05773
42-model-disabled,2014-07-01,0.29739985,4.857071
42-model-disabled,2014-08-01,0.29739985,4.857071
42-model-disabled,2014-09-01,0.29739985,4.857071
45-model-disabled,2014-07-01,1.3051702,4.484019
45-model-disabled,2014-08-01,1.3051702,4.484019
45-model-disabled,2014-09-01,1.3051702,4.484019
46-model-disabled,2014-07-01,0.9357051,3.9298828
46-model-disabled,2014-08-01,0.9357051,3.9298828
46-model-disabled,2014-09-01,0.9357051,3.9298828
5-model-disabled,2014-07-01,0.0038652013,0.3558453
5-model-disabled,2014-08-01,0.0038652013,0.3558453
5-model-disabled,2014-09-01,0.0038652013,0.3558453
50-model-disabled,2014-07-01,2.85016,6.818548
50-model-disabled,2014-08-01,2.85016,6.818548
50-model-disabled,2014-09-01,2.85016,6.818548
51-model-disabled,2014-07-01,0.28610277,5.658172
51-model-disabled,2014-08-01,0.28610277,5.658172
51-model-disabled,2014-09-01,0.28610277,5.658172
59-model-disabled,2014-07-01,0.2757947,1.7504916
59-model-disabled,2014-08-01,0.2757947,1.7504916
59-model-disabled,2014-09-01,0.2757947,1.7504916
60-model-disabled,2014-07-01,0.34996998,6.290421
60-model-disabled,2014-08-01,0.34996998,6.290421
60-model-disabled,2014-09-01,0.34996998,6.290421
61-model-disabled,2014-07-01,0.15228377,2.3846998
61-model-disabled,2014-08-01,0.15228377,2.3846998
61-model-disabled,2014-09-01,0.15228377,2.3846998
707,2014-07-01,258.62686,269.90118
707,2014-08-01,258.62686,269.90118
707,2014-09-01,258.62686,269.90118
708,2014-07-01,263.09503,279.78192
708,2014-08-01,263.09503,279.78192
708,2014-09-01,263.09503,279.78192
711,2014-07-01,272.07153,286.9094
711,2014-08-01,272.07153,286.9094
711,2014-09-01,272.07153,286.9094
712,2014-07-01,299.47925,315.89893
712,2014-08-01,299.47925,315.89893
712,2014-09-01,299.47925,315.89893
713,2014-07-01,33.122005,32.753128
713,2014-08-01,33.122005,32.753128
713,2014-09-01,33.122005,32.753128
714,2014-07-01,109.79441,119.646416
714,2014-08-01,109.79441,119.646416
714,2014-09-01,109.79441,119.646416
715,2014-07-01,197.1436,191.53706
715,2014-08-01,197.1436,191.53706
715,2014-09-01,197.1436,191.53706
716,2014-07-01,83.606476,85.52399
716,2014-08-01,83.606476,85.52399
716,2014-09-01,83.606476,85.52399
717,2014-07-01,7.4490514,13.038357
717,2014-08-01,7.4490514,13.038357
717,2014-09-01,7.4490514,13.038357
718,2014-07-01,7.521054,13.045144
718,2014-08-01,7.521054,13.045144
718,2014-09-01,7.521054,13.045144
719,2014-07-01,2.4213428,2.9025908
719,2014-08-01,2.4213428,2.9025908
719,2014-09-01,2.4213428,2.9025908
722,2014-07-01,12.505711,19.935942
722,2014-08-01,12.505711,19.935942
722,2014-09-01,12.505711,19.935942
723,2014-07-01,2.6289003,2.8343067
723,2014-08-01,2.6289003,2.8343067
723,2014-09-01,2.6289003,2.8343067
736,2014-07-01,0.9840322,5.256896
736,2014-08-01,0.9840322,5.256896
736,2014-09-01,0.9840322,5.256896
738,2014-07-01,24.27066,35.997665
738,2014-08-01,24.27066,35.997665
738,2014-09-01,24.27066,35.997665
739,2014-07-01,5.7484794,9.250854
739,2014-08-01,5.7484794,9.250854
739,2014-09-01,5.7484794,9.250854
742,2014-07-01,17.921988,17.584597
742,2014-08-01,17.921988,17.584597
742,2014-09-01,17.921988,17.584597
743,2014-07-01,32.53707,32.948704
743,2014-08-01,32.53707,32.948704
743,2014-09-01,32.53707,32.948704
747,2014-07-01,18.223581,17.728579
747,2014-08-01,18.223581,17.728579
747,2014-09-01,18.223581,17.728579
748,2014-07-01,33.065796,32.57642
748,2014-08-01,33.065796,32.57642
748,2014-09-01,33.065796,32.57642
77-model-disabled,2014-07-01,0.94927704,1.6243396
77-model-disabled,2014-08-01,0.94927704,1.6243396
77-model-disabled,2014-09-01,0.94927704,1.6243396
779,2014-07-01,75.05026,85.761246
779,2014-08-01,75.05026,85.761246
779,2014-09-01,75.05026,85.761246
78-model-disabled,2014-07-01,2.169132,2.0608404
78-model-disabled,2014-08-01,2.169132,2.0608404
78-model-disabled,2014-09-01,2.169132,2.0608404
780,2014-07-01,63.5781,73.34675
780,2014-08-01,63.5781,73.34675
780,2014-09-01,63.5781,73.34675
781,2014-07-01,63.713924,73.104836
781,2014-08-01,63.713924,73.104836
781,2014-09-01,63.713924,73.104836
782,2014-07-01,89.3094,101.65458
782,2014-08-01,89.3094,101.65458
782,2014-09-01,89.3094,101.65458
783,2014-07-01,77.56152,88.52701
783,2014-08-01,77.56152,88.52701
783,2014-09-01,77.56152,88.52701
784,2014-07-01,64.15307,72.948456
784,2014-08-01,64.15307,72.948456
784,2014-09-01,64.15307,72.948456
792,2014-07-01,21.23092,26.327183
792,2014-08-01,21.23092,26.327183
792,2014-09-01,21.23092,26.327183
793,2014-07-01,33.156223,39.605003
793,2014-08-01,33.156223,39.605003
793,2014-09-01,33.156223,39.605003
794,2014-07-01,34.19934,39.203636
794,2014-08-01,34.19934,39.203636
794,2014-09-01,34.19934,39.203636
795,2014-07-01,25.858772,30.341343
795,2014-08-01,25.858772,30.341343
795,2014-09-01,25.858772,30.341343
796,2014-07-01,21.548855,26.347998
796,2014-08-01,21.548855,26.347998
796,2014-09-01,21.548855,26.347998
797,2014-07-01,45.9779,52.81118
797,2014-08-01,45.9779,52.81118
797,2014-09-01,45.9779,52.81118
798,2014-07-01,40.9523,48.426773
798,2014-08-01,40.9523,48.426773
798,2014-09-01,40.9523,48.426773
799,2014-07-01,38.465633,42.85131
799,2014-08-01,38.465633,42.85131
799,2014-09-01,38.465633,42.85131
800,2014-07-01,29.19992,33.760246
800,2014-08-01,29.19992,33.760246
800,2014-09-01,29.19992,33.760246
801,2014-07-01,46.888336,54.534153
801,2014-08-01,46.888336,54.534153
801,2014-09-01,46.888336,54.534153
808,2014-07-01,19.069298,25.502312
808,2014-08-01,19.069298,25.502312
808,2014-09-01,19.069298,25.502312
809,2014-07-01,31.015535,39.788002
809,2014-08-01,31.015535,39.788002
809,2014-09-01,31.015535,39.788002
810,2014-07-01,13.349673,15.054622
810,2014-08-01,13.349673,15.054622
810,2014-09-01,13.349673,15.054622
811,2014-07-01,4.4483733,5.755748
811,2014-08-01,4.4483733,5.755748
811,2014-09-01,4.4483733,5.755748
813,2014-07-01,17.057926,17.816505
813,2014-08-01,17.057926,17.816505
813,2014-09-01,17.057926,17.816505
822,2014-07-01,17.55225,23.249126
822,2014-08-01,17.55225,23.249126
822,2014-09-01,17.55225,23.249126
833,2014-07-01,0.4321369,4.3689394
833,2014-08-01,0.4321369,4.3689394
833,2014-09-01,0.4321369,4.3689394
835,2014-07-01,25.543644,30.867405
835,2014-08-01,25.543644,30.867405
835,2014-09-01,25.543644,30.867405
836,2014-07-01,18.960766,22.66626
836,2014-08-01,18.960766,22.66626
836,2014-09-01,18.960766,22.66626
838,2014-07-01,11.22503,12.760057
838,2014-08-01,11.22503,12.760057
838,2014-09-01,11.22503,12.760057
839,2014-07-01,2.3904786,3.5008545
839,2014-08-01,2.3904786,3.5008545
839,2014-09-01,2.3904786,3.5008545
858,2014-07-01,78.85131,89.669174
858,2014-08-01,78.85131,89.669174
858,2014-09-01,78.85131,89.669174
859,2014-07-01,117.447075,128.67014
859,2014-08-01,117.447075,128.67014
859,2014-09-01,117.447075,128.67014
860,2014-07-01,57.282593,59.491924
860,2014-08-01,57.282593,59.491924
860,2014-09-01,57.282593,59.491924
864,2014-07-01,241.80785,228.99763
864,2014-08-01,241.80785,228.99763
864,2014-09-01,241.80785,228.99763
865,2014-07-01,123.86818,116.72005
865,2014-08-01,123.86818,116.72005
865,2014-09-01,123.86818,116.72005
866,2014-07-01,15.268063,14.430918
866,2014-08-01,15.268063,14.430918
866,2014-09-01,15.268063,14.430918
867,2014-07-01,188.82748,173.66284
867,2014-08-01,188.82748,173.66284
867,2014-09-01,188.82748,173.66284
868,2014-07-01,68.98457,64.741905
868,2014-08-01,68.98457,64.741905
